model,tick,metric,value,unit
NeedBasedAllocation,0,Needs Met,0.3333333333333333,
NeedBasedAllocation,0,Inequality,0.29282765737874095,
NeedBasedAllocation,0,Trust,66.54166666666666,
NeedBasedAllocation,0,Severe Failures,3,
NeedBasedAllocation,0,Administrative Load,0,
NeedBasedAllocation,1,Needs Met,0.3333333333333333,
NeedBasedAllocation,1,Inequality,0.29282765737874095,
NeedBasedAllocation,1,Trust,65.70833333333333,
NeedBasedAllocation,1,Severe Failures,3,
NeedBasedAllocation,1,Administrative Load,0,
NeedBasedAllocation,2,Needs Met,0.3333333333333333,
NeedBasedAllocation,2,Inequality,0.29282765737874095,
NeedBasedAllocation,2,Trust,64.875,
NeedBasedAllocation,2,Severe Failures,3,
NeedBasedAllocation,2,Administrative Load,0,
NeedBasedAllocation,3,Needs Met,0.3333333333333333,
NeedBasedAllocation,3,Inequality,0.29282765737874095,
NeedBasedAllocation,3,Trust,64.04166666666667,
NeedBasedAllocation,3,Severe Failures,3,
NeedBasedAllocation,3,Administrative Load,0,
NeedBasedAllocation,4,Needs Met,0.3333333333333333,
NeedBasedAllocation,4,Inequality,0.29282765737874095,
NeedBasedAllocation,4,Trust,63.20833333333333,
NeedBasedAllocation,4,Severe Failures,3,
NeedBasedAllocation,4,Administrative Load,0,
NeedBasedAllocation,5,Needs Met,0.3333333333333333,
NeedBasedAllocation,5,Inequality,0.29282765737874095,
NeedBasedAllocation,5,Trust,62.375,
NeedBasedAllocation,5,Severe Failures,3,
NeedBasedAllocation,5,Administrative Load,0,
NeedBasedAllocation,6,Needs Met,0.3333333333333333,
NeedBasedAllocation,6,Inequality,0.29282765737874095,
NeedBasedAllocation,6,Trust,49.04166666666667,
NeedBasedAllocation,6,Severe Failures,3,
NeedBasedAllocation,6,Administrative Load,0,
NeedBasedAllocation,7,Needs Met,0.3333333333333333,
NeedBasedAllocation,7,Inequality,0.29282765737874095,
NeedBasedAllocation,7,Trust,48.20833333333333,
NeedBasedAllocation,7,Severe Failures,3,
NeedBasedAllocation,7,Administrative Load,0,
NeedBasedAllocation,8,Needs Met,0.3333333333333333,
NeedBasedAllocation,8,Inequality,0.29282765737874095,
NeedBasedAllocation,8,Trust,47.375,
NeedBasedAllocation,8,Severe Failures,3,
NeedBasedAllocation,8,Administrative Load,0,
NeedBasedAllocation,9,Needs Met,0.3333333333333333,
NeedBasedAllocation,9,Inequality,0.29282765737874095,
NeedBasedAllocation,9,Trust,46.54166666666667,
NeedBasedAllocation,9,Severe Failures,3,
NeedBasedAllocation,9,Administrative Load,0,
NeedBasedAllocation,10,Needs Met,0.3333333333333333,
NeedBasedAllocation,10,Inequality,0.29282765737874095,
NeedBasedAllocation,10,Trust,45.70833333333333,
NeedBasedAllocation,10,Severe Failures,3,
NeedBasedAllocation,10,Administrative Load,0,
NeedBasedAllocation,11,Needs Met,0.3333333333333333,
NeedBasedAllocation,11,Inequality,0.29282765737874095,
NeedBasedAllocation,11,Trust,44.875,
NeedBasedAllocation,11,Severe Failures,3,
NeedBasedAllocation,11,Administrative Load,0,
